50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,home_team,away_team,match_date,block_offensive,pass_goal_assist,pass_straight,block_deflection,clearance_other,shot_deflected,injury_stoppage_in_chain,pass_miscommunication,foul_committed_penalty,foul_won_penalty,goalkeeper_punched_out,goalkeeper_shot_saved_off_target,goalkeeper_shot_saved_to_post,shot_saved_off_target,shot_saved_to_post,block_save_block,dribble_no_touch,shot_redirect,shot_follows_dribble,x,y,end_x,end_y,progression,is_line_breaking,zone_origin,zone_dest
,,,,,,,,,,,,,,,,,2.372662,,,,,,,,,,,,,af98e1f8-eaab-461c-9801-9c554f8996c3,679,,"[95.1, 9.3]",3773386,16,,,,,1.3372719,1aedaf9e-bc12-4d0a-953d-bd0f7db3688a,Left Foot,True,,,"[104.9, 50.5]",Ground Pass,,42.3495,,,,Edgar Antonio Méndez Ortega,26387.0,True,True,,,,1,Regular Play,Luis Jesús Rioja González,24049.0,Left Midfield,36,Deportivo Alavés,206,['f71125fd-ec6b-47f3-92b0-96202b881b1c'],4,,,,,,,,,,,,,,,,,,Deportivo Alavés,206,00:16:04.989,Pass,,Deportivo Alavés,Barcelona,2020-10-31,,,,,,,,,,,,,,,,,,,,95.1,9.3,104.9,50.5,9.800000000000011,False,Couloir gauche,Autre
,,,,,,,,,,,,,,,,,2.947895,,,,,,,,,,,,,c89eb5f1-94d6-4f09-8de3-4dcc56e29d5d,2349,,"[62.7, 18.0]",3773386,55,,,,,0.3464805,,Left Foot,,,,"[104.8, 33.2]",Ground Pass,,44.759914,,Incomplete,,Deyverson Brum Silva Acosta,25134.0,,,Through Ball,True,,2,Regular Play,José Ignacio Peleteiro Ramallo,9462.0,Left Center Midfield,92,Deportivo Alavés,206,"['2bf06027-4420-43d9-a118-2d970f346b24', '3b798664-5c18-4e57-9afa-e26d0db954cb', 'd796eae4-1a88-4e20-b3d2-bc793988fdb6']",1,,,,,,,,,,,,,,,,,,Deportivo Alavés,206,00:10:01.969,Pass,True,Deportivo Alavés,Barcelona,2020-10-31,,,,,,,,,,,,,,,,,,,,62.7,18.0,104.8,33.2,42.099999999999994,True,Couloir gauche,Surface centrale
,,,,,,,,,,,,,,,,,1.233227,,,,,,,,,,,,,35ff15ae-1335-4bee-b8b8-950aa805e7ee,2798,,"[96.4, 4.5]",3773386,68,,,,,1.1908591,feff0ad0-9d59-46c8-a6f6-ff4f9a357b06,Left Foot,True,,,"[108.5, 34.8]",High Pass,,32.626675,,,,José Luis Sanmartín Mato,3265.0,True,,,,,2,From Goal Kick,Rubén Duarte Sánchez,6612.0,Left Back,115,Deportivo Alavés,206,['5ba438fe-9cce-46a4-9a03-6046e87ec8be'],32,,,,,,,,,,,,,,,,,,Deportivo Alavés,206,00:23:32.763,Pass,,Deportivo Alavés,Barcelona,2020-10-31,,,,,,,,,,,,,,,,,,,,96.4,4.5,108.5,34.8,12.099999999999994,False,Couloir gauche,Surface centrale
,,,,,,,,,,,,,,,,,1.502147,,,,,,,,,,,,,a44043e7-d309-402f-9abb-ff10f03439ad,910,,"[95.5, 61.2]",3773565,22,,,,,-0.21231982,49709c20-fa93-4458-916e-a443a1e4efd3,Left Foot,,,,"[112.2, 57.6]",Ground Pass,,17.083618,,,,Roberto Soldado Rillo,26009.0,True,,Through Ball,True,,1,From Throw In,José Antonio Rodríguez Díaz,24126.0,Right Wing,44,Granada,1049,['d8a6bab2-caaa-4ba6-ab5e-50db5e391911'],21,,,,,,,,,,,,,,,,,,Granada,1049,00:22:21.869,Pass,,Granada,Barcelona,2021-01-09,,,,,,,,,,,,,,,,,,,,95.5,61.2,112.2,57.6,16.700000000000003,True,Half-space droit,Autre
,,,,,,,,,,,,,,,,,1.408891,,,,,,,,,,,,,986ccbac-5ca9-461e-ac84-b4f7affc28af,938,,"[52.7, 21.9]",3773565,23,,,,,-0.089614406,,Right Foot,,,,"[87.2, 18.8]",Low Pass,,34.638996,,Incomplete,,Darwin Daniel Machís Marcano,11501.0,,,Through Ball,True,,1,From Throw In,Yangel Clemente Herrera Ravelo,16249.0,Right Center Midfield,46,Granada,1049,"['da635323-fbb5-4aa2-aa5f-b61ab39a8042', 'e4b3d08d-be2c-4818-a4d1-2819670ea658']",14,,,,,,,,,,,,,,,,,,Granada,1049,00:23:14.316,Pass,,Granada,Barcelona,2021-01-09,,,,,,,,,,,,,,,,,,,,52.7,21.9,87.2,18.8,34.5,True,Autre,Half-space gauche
,,,,,,,,,,,,,,,,,0.824063,,,,,,,,,,,,,f89e2fb5-7c78-49e5-83d2-bc97a21068de,1124,,"[64.1, 40.7]",3773565,28,,,,,0.06360834,,Right Foot,,,,"[79.8, 41.7]",Ground Pass,,15.731815,,Pass Offside,,José Antonio Rodríguez Díaz,24126.0,,,Through Ball,True,,1,From Counter,Roberto Soldado Rillo,26009.0,Center Forward,55,Granada,1049,['a262e4f4-a73a-4038-b02f-de531656bbb9'],23,,,,,,,,,,,,,,,,,,Granada,1049,00:28:23.187,Pass,,Granada,Barcelona,2021-01-09,,,,,,,,,,,,,,,,,,,,64.1,40.7,79.8,41.7,15.700000000000003,True,Distance,Distance
,,,,,,,,,,,,,,,,,1.076548,,,,,,,,,,,,,185afdca-284c-4492-98f3-a1ecd7a8a4c6,1241,,"[108.4, 76.4]",3773565,32,,,,,-2.202487,aa044e1c-8cbc-4344-ad6f-f5c9ff520e72,Right Foot,,,,"[99.4, 64.1]",Ground Pass,,15.241063,,,,Darwin Daniel Machís Marcano,11501.0,True,,,,,1,From Corner,Ángel Montoro Sánchez,24144.0,Center Attacking Midfield,59,Granada,1049,['b9bdbbeb-fbec-4c01-b4b8-434d25cc29a4'],35,,,,,,,,,,,,,,,,,,Granada,1049,00:32:35.497,Pass,,Granada,Barcelona,2021-01-09,,,,,,,,,,,,,,,,,,,,108.4,76.4,99.4,64.1,-9.0,False,Autre,Couloir droit
,,,,,,,,,,,,,,,,,2.024201,,,,,,,,,,,,,de078931-c212-4bdb-8803-5b1fa00d9444,2468,,"[84.0, 71.7]",3773565,59,,,,,-0.9652517,6c130303-7832-431e-90f7-ab10ceb0e3b0,Right Foot,,,,"[111.0, 32.7]",High Pass,,47.434166,,,,Darwin Daniel Machís Marcano,11501.0,True,,,,,2,From Throw In,Luis Milla Manzanares,24272.0,Center Attacking Midfield,96,Granada,1049,['7f06206f-f4de-44c0-8ecd-73191f145f04'],23,,,,,,,,,,,,,,,,,,Granada,1049,00:14:23.031,Pass,,Granada,Barcelona,2021-01-09,,,,,,,,,,,,,,,,,,,,84.0,71.7,111.0,32.7,27.0,True,Couloir droit,Surface centrale
,,,,,,,,,,,,,,,,,1.088913,,,,,,,,,,,,,55402c57-3b86-4b2e-87c3-0643e6d293eb,1228,,"[81.6, 34.1]",3773457,25,,,,,0.62090605,,Right Foot,,,,"[96.0, 44.4]",Ground Pass,,17.70452,,Incomplete,,Santiago Mina Lorenzo,6594.0,,,Through Ball,True,,1,Regular Play,Manuel Agudo Durán,6724.0,Left Midfield,51,Celta Vigo,209,"['1c68e4a7-4326-42a1-ae7c-bf150f96d8b7', '33764401-fd53-4f08-babb-3e0cf7efd093', '6d665df8-5b03-4f95-9838-13b5cbae8499']",43,,,,,,,,,,,,,,,,,,Celta Vigo,209,00:25:43.483,Pass,True,Barcelona,Celta Vigo,2021-05-16,,,,,,,,,,,,,,,,,,,,81.6,34.1,96.0,44.4,14.400000000000006,False,Autre,Autre
,,,,,,,,,,,,,,,,,1.380675,,,,,,,,,,,,,8694a069-23d3-4b20-ad62-6fe8722e926a,2688,,"[70.8, 33.4]",3773457,56,,,,,-0.45771882,,Right Foot,,,,"[91.1, 23.4]",Ground Pass,,22.629406,,Pass Offside,,Aarón Martín Caricol,6757.0,,,Through Ball,True,Recovery,2,From Free Kick,Manuel Agudo Durán,6724.0,Left Midfield,114,Celta Vigo,209,['223c416b-bffc-4fb6-a766-70ecda697087'],4,,,,,,,,,,,,,,,,,,Celta Vigo,209,00:11:04.833,Pass,,Barcelona,Celta Vigo,2021-05-16,,,,,,,,,,,,,,,,,,,,70.8,33.4,91.1,23.4,20.299999999999997,True,Distance,Half-space gauche
