match_id,match_date,x,y,xg,is_goal,shot_outcome,shot_body_part,shot_technique,n_defenders_in_cone,n_defenders_closer,dist_nearest_defender,gk_dist_center_goal,gk_dist_to_shooter,n_defenders_total,team_ratio_cone
3773386,2020-10-31,103.6,51.0,0.096383646,0,Saved,Right Foot,Normal,0,2,6.5253352404301745,4.114608122288198,15.68215546409358,5,0.0
3773386,2020-10-31,84.7,42.1,0.017764185,0,Off T,Right Foot,Normal,2,9,4.494441010848853,1.0,34.364225584174015,10,0.0
3773386,2020-10-31,106.6,35.3,0.03818405,0,Saved,Head,Normal,0,2,2.7202941017470916,1.8788294228055948,12.332882874656685,8,0.0
3773565,2021-01-09,101.1,50.9,0.04283516,0,Saved,Right Foot,Normal,1,4,3.190611226708761,3.400000000000001,18.420097719610506,7,0.0
3773565,2021-01-09,92.6,47.5,0.025733665,0,Blocked,Left Foot,Normal,1,4,2.9120439557122175,1.9235384061671397,26.49698096010185,5,0.0
3773565,2021-01-09,109.5,55.4,0.058749907,0,Off T,Right Foot,Normal,0,3,1.920937271229852,4.304648650006181,14.34503398392628,6,0.0
3773565,2021-01-09,99.2,56.5,0.024455013,0,Saved,Left Foot,Normal,1,7,0.7999999999999972,3.764306044943745,22.88055943372014,9,1.0
3773565,2021-01-09,104.0,35.9,0.09590488,0,Saved,Right Foot,Normal,0,4,1.513274595042156,2.5079872407968877,14.046351839534708,9,1.0
3773565,2021-01-09,111.1,32.3,0.1629772,0,Off T,Left Foot,Half Volley,0,1,1.3928388277184094,3.4409301068170484,8.462860036654282,9,0.0
3773565,2021-01-09,100.6,58.9,0.011698737,0,Saved,Left Foot,Normal,0,5,1.9209372712298562,4.0607881008493925,23.05211487044085,8,0.0
3773565,2021-01-09,103.8,56.4,0.028624984,0,Blocked,Right Foot,Normal,1,4,2.5,4.601086828130931,18.45562244954096,8,0.0
3773457,2021-05-16,97.2,37.6,0.051378094,1,Goal,Right Foot,Normal,1,3,4.052159917870959,2.9120439557122038,20.254382241875458,7,0.0
3773457,2021-05-16,102.4,30.5,0.07740248,0,Saved,Right Foot,Normal,0,4,4.8259714048054585,3.4205262752974126,16.926015479137433,8,1.0
3773457,2021-05-16,107.4,40.5,0.25516874,0,Saved,Right Foot,Normal,0,0,3.244996147917591,2.0999999999999943,10.51189802081432,5,0.0
3773457,2021-05-16,112.9,45.0,0.3457039,1,Goal,Right Foot,Half Volley,0,1,1.2041594578792318,1.1401754250991385,8.704596486914248,7,0.0
3773631,2021-02-07,115.3,34.7,0.10217343,0,Blocked,Right Foot,Normal,1,2,0.7071067811865476,5.374011537017757,1.749285568453593,8,0.0
3773631,2021-02-07,114.0,32.4,0.1273561,0,Off T,Head,Normal,0,1,2.308679276123043,2.9206163733020425,6.8796802251267515,7,0.0
3773631,2021-02-07,111.7,42.4,0.44097158,1,Goal,Left Foot,Normal,0,0,1.772004514666931,3.4058772731852778,5.703507692639682,7,0.0
3773631,2021-02-07,107.7,34.4,0.3704533,0,Saved,Right Foot,Normal,0,0,1.5811388300841964,8.234682750416072,5.280151512977633,8,0.0
3773631,2021-02-07,99.4,56.2,0.02668288,0,Saved,Left Foot,Normal,0,5,0.9219544457292933,3.5846896657869776,22.66296538407982,7,0.0
3773631,2021-02-07,116.2,42.2,0.1947324,1,Goal,Head,Normal,1,2,0.31622776601683567,1.4142135623730951,3.0463092423455618,10,0.0
3773631,2021-02-07,111.0,44.0,0.091646455,0,Saved,Head,Normal,0,5,0.7071067811865496,1.5297058540778348,8.36301381082203,9,0.0
